"DateTime","ETH Volatility"
"2023-09-17 03:00:00",38.95
"2023-09-18 03:00:00",38.67
"2023-09-19 03:00:00",39.95
"2023-09-20 03:00:00",39.88
"2023-09-21 03:00:00",37.78
"2023-09-22 03:00:00",39.31
"2023-09-23 03:00:00",34.8
"2023-09-24 03:00:00",36.86
"2023-09-25 03:00:00",38.22
"2023-09-26 03:00:00",38.8
"2023-09-27 03:00:00",37.64
"2023-09-28 03:00:00",35.25
"2023-09-29 03:00:00",42.57
"2023-09-30 03:00:00",37.5
"2023-10-01 03:00:00",38.41
"2023-10-02 03:00:00",39.15
"2023-10-03 03:00:00",39.82
"2023-10-04 03:00:00",40.17
"2023-10-05 03:00:00",38.68
"2023-10-06 03:00:00",38.35
"2023-10-07 03:00:00",37.5
"2023-10-08 03:00:00",37.6
"2023-10-09 03:00:00",40.13
"2023-10-10 03:00:00",40.46
"2023-10-11 03:00:00",39.66
"2023-10-12 03:00:00",40.79
"2023-10-13 03:00:00",40.85
"2023-10-14 03:00:00",40.19
"2023-10-15 03:00:00",39.9
"2023-10-16 03:00:00",40.28
"2023-10-17 03:00:00",40.94
"2023-10-18 03:00:00",37.83
"2023-10-19 03:00:00",38.29
"2023-10-20 03:00:00",37.83
"2023-10-21 03:00:00",40.67
"2023-10-22 03:00:00",43.84
"2023-10-23 03:00:00",48.09
"2023-10-24 03:00:00",51.09
"2023-10-25 03:00:00",53.32
"2023-10-26 03:00:00",52.99
"2023-10-27 03:00:00",52.98
"2023-10-28 03:00:00",47.2
"2023-10-29 03:00:00",49.57
"2023-10-30 02:00:00",52.86
"2023-10-31 02:00:00",53.89
"2023-11-01 02:00:00",55.77
"2023-11-02 02:00:00",58.87
"2023-11-03 02:00:00",59.06
"2023-11-04 02:00:00",58.32
"2023-11-06 02:00:00",64.04
"2023-11-07 02:00:00",60.71
"2023-11-08 02:00:00",58.38
"2023-11-09 02:00:00",59.02
"2023-11-10 02:00:00",67.25
"2023-11-11 02:00:00",60.88
"2023-11-12 02:00:00",62.33
"2023-11-13 02:00:00",63.33
"2023-11-14 02:00:00",65.53
"2023-11-15 02:00:00",64.49
"2023-11-16 02:00:00",67.31
"2023-11-17 02:00:00",61.97
"2023-11-18 02:00:00",60.3
"2023-11-19 02:00:00",58.19
"2023-11-20 02:00:00",60.47
"2023-11-21 02:00:00",60.21
"2023-11-22 02:00:00",58.72
"2023-11-23 02:00:00",58.34
"2023-11-24 02:00:00",57.32
"2023-11-25 02:00:00",57.35
"2023-11-26 02:00:00",57.27
"2023-11-27 02:00:00",56.82
"2023-11-28 02:00:00",52.39
"2023-11-29 02:00:00",51.68
"2023-11-30 02:00:00",53.13
