Date,WMT
03/25/2022,0.7396471456
03/26/2022,0.7417879518
03/27/2022,0.757756868
03/28/2022,0.7283225216
03/29/2022,0.7249107632
03/30/2022,0.7026842655
03/31/2022,0.6635296161
04/01/2022,0.660329805
04/02/2022,0.6547623648
04/03/2022,0.6648385246
04/04/2022,0.6912573555
04/05/2022,0.669698172
04/06/2022,0.6100807945
04/07/2022,0.6220520118
04/08/2022,0.5960901408
04/09/2022,0.59983861
04/10/2022,0.589253866
04/11/2022,0.538371205
04/12/2022,0.565636869
04/13/2022,0.5808213464
04/14/2022,0.5648551896
04/15/2022,0.5822818983
04/16/2022,0.583873056
04/17/2022,0.564700323
04/18/2022,0.5714053
04/19/2022,0.5687584678
04/20/2022,0.5462823348
04/21/2022,0.5237956922
04/22/2022,0.5119070022
04/23/2022,0.5019153447
04/24/2022,0.47791992
04/25/2022,0.4799929995
04/26/2022,0.43865185
04/27/2022,0.447700897
04/28/2022,0.444508465
04/29/2022,0.4176563084
04/30/2022,0.391722882
05/01/2022,0.4061577816
05/02/2022,0.3995957777
05/03/2022,0.385418271
05/04/2022,0.4190513024
05/05/2022,0.386873328
05/06/2022,0.3815741689
05/07/2022,0.3811695646
05/08/2022,0.3735532713
05/09/2022,0.3044949208
05/10/2022,0.3149846704
05/11/2022,0.25363088
05/12/2022,0.2185390298
05/13/2022,0.242225666
05/14/2022,0.2436819444
05/15/2022,0.268636
05/16/2022,0.2508562296
05/17/2022,0.2603080731
05/18/2022,0.2312177395
05/19/2022,0.2439943575
05/20/2022,0.2353887315
05/21/2022,0.2405413642
05/22/2022,0.246077263
05/23/2022,0.23784872
05/24/2022,0.2450274024
05/25/2022,0.2365889708
05/26/2022,0.219763531
05/27/2022,0.2146804491
05/28/2022,0.2203910888
05/29/2022,0.2293527642
05/30/2022,0.278765697
05/31/2022,0.3061243584
06/01/2022,0.275877525
06/02/2022,0.298834978
06/03/2022,0.2828511532
06/04/2022,0.2842232449
06/05/2022,0.28297791
06/06/2022,0.2989363168
06/07/2022,0.309322657
06/08/2022,0.3162515406
06/09/2022,0.314497948
06/10/2022,0.2851556656
06/11/2022,0.2724637833
06/12/2022,0.2472877197
06/13/2022,0.225082638
06/14/2022,0.2435977194
06/15/2022,0.2641415088
06/16/2022,0.2345183614
06/17/2022,0.24004056
06/18/2022,0.2191042146
06/19/2022,0.2327853384
06/20/2022,0.2359406973
06/21/2022,0.2325097808
06/22/2022,0.2176363728
06/23/2022,0.2258813276
06/24/2022,0.2359332624
06/25/2022,0.2358018796
06/26/2022,0.2319486261
06/27/2022,0.230361618
06/28/2022,0.2209332384
06/29/2022,0.2152513616
06/30/2022,0.2126306266
07/01/2022,0.2149482933
07/02/2022,0.2171318058
07/03/2022,0.2178617034
07/04/2022,0.2223294696
07/05/2022,0.2154073824
07/06/2022,0.2134804801
07/07/2022,0.219554614
07/08/2022,0.2108507232
07/09/2022,0.211899176
07/10/2022,0.20566968
07/11/2022,0.19554848
07/12/2022,0.185560032
07/13/2022,0.188605494
07/14/2022,0.1910079275
07/15/2022,0.1896366416
07/16/2022,0.196243116
07/17/2022,0.1909302604
07/18/2022,0.212778576
07/19/2022,0.2221928544
07/20/2022,0.217532049
07/21/2022,0.2228436688
07/22/2022,0.2169529918
07/23/2022,0.2310565488
07/24/2022,0.2329118862
07/25/2022,0.22469475
07/26/2022,0.2256671382
07/27/2022,0.2478224262
07/28/2022,0.2491694112
07/29/2022,0.2496831285
07/30/2022,0.238611504
07/31/2022,0.212598624
08/01/2022,0.210276307
08/02/2022,0.2050926624
08/03/2022,0.2095131816
08/04/2022,0.2110097964
08/05/2022,0.2186450175
08/06/2022,0.2153410272
08/07/2022,0.223278051
08/08/2022,0.22537032
08/09/2022,0.2166215128
08/10/2022,0.2275663041
08/11/2022,0.2225439762
08/12/2022,0.2274947871
08/13/2022,0.2309228625
08/14/2022,0.2342969044
08/15/2022,0.2303343609
08/16/2022,0.2337105935
08/17/2022,0.230657821
08/18/2022,0.2202784001
08/19/2022,0.202670412
08/20/2022,0.2046141804
08/21/2022,0.2101717564
08/22/2022,0.2095426286
08/23/2022,0.2133439302
08/24/2022,0.2063781045
08/25/2022,0.2092030501
08/26/2022,0.1908292227
08/27/2022,0.1959805674
08/28/2022,0.1881034326
08/29/2022,0.2003825538
08/30/2022,0.2006726022
08/31/2022,0.1981852605
09/01/2022,0.2080166107
09/02/2022,0.2039606233
09/03/2022,0.2140604472
09/04/2022,0.2274945848
09/05/2022,0.2285475059
09/06/2022,0.2103708838
09/07/2022,0.2139035566
09/08/2022,0.2106888504
09/09/2022,0.221737428
09/10/2022,0.226234313
09/11/2022,0.2262279376
09/12/2022,0.2180722008
09/13/2022,0.2080424997
09/14/2022,0.2171487136
09/15/2022,0.2153137856
09/16/2022,0.21572733
09/17/2022,0.2193663468
09/18/2022,0.2064210576
09/19/2022,0.2104712064
09/20/2022,0.2042899077
09/21/2022,0.2009038086
09/22/2022,0.199191244
09/23/2022,0.1991372152
09/24/2022,0.20127812
09/25/2022,0.1994014172
09/26/2022,0.197019837
09/27/2022,0.194299033
09/28/2022,0.198223557
09/29/2022,0.197264134
09/30/2022,0.196355128
10/01/2022,0.1946215239
10/02/2022,0.1889187766
10/03/2022,0.1927274994
10/04/2022,0.19435119
10/05/2022,0.1950216506
10/06/2022,0.1917088264
10/07/2022,0.191707776
10/08/2022,0.1901185888
10/09/2022,0.189959328
10/10/2022,0.1782389236
10/11/2022,0.175625838
10/12/2022,0.17154687
10/13/2022,0.1673691616
10/14/2022,0.1649362096
10/15/2022,0.1599018624
10/16/2022,0.161442516
10/17/2022,0.165395649
10/18/2022,0.160684262
10/19/2022,0.158214464
10/20/2022,0.1543732398
10/21/2022,0.1564214037
10/22/2022,0.1573609502
10/23/2022,0.1624376114
10/24/2022,0.1618587211
10/25/2022,0.1834673232
10/26/2022,0.176326004
10/27/2022,0.1658181402
10/28/2022,0.170297447
10/29/2022,0.172318869
10/30/2022,0.1655453619
10/31/2022,0.171473792
11/01/2022,0.1771387026
11/02/2022,0.1707228072
11/03/2022,0.167100122
11/04/2022,0.177293415
11/05/2022,0.181447722
11/06/2022,0.1774431015
11/07/2022,0.1808250507
11/08/2022,0.166953466
11/09/2022,0.1363838567
11/10/2022,0.1582542353
11/11/2022,0.1523649432
11/12/2022,0.1463745504
11/13/2022,0.1428789656
11/14/2022,0.1434583227
11/15/2022,0.1448801691
11/16/2022,0.1421265432
11/17/2022,0.1397218559
11/18/2022,0.1393942333
11/19/2022,0.1405374336
11/20/2022,0.1335424732
11/21/2022,0.1307424564
11/22/2022,0.1393355574
11/23/2022,0.1400913117
11/24/2022,0.1407288726
11/25/2022,0.140170105
11/26/2022,0.139887582
11/27/2022,0.1396356926
11/28/2022,0.14123535
11/29/2022,0.1441054776
11/30/2022,0.1548176965
12/01/2022,0.1553236476
12/02/2022,0.1676247936
12/03/2022,0.1725811946
12/04/2022,0.173349025
12/05/2022,0.1706540297
12/06/2022,0.1720342528
12/07/2022,0.16617636
12/08/2022,0.1713690449
12/09/2022,0.1712665115
